name,address,stars,latitude,longitude
Hôtel Mont Blanc,Rue de la Huchette,2,48.8531829,2.3450994
Hôtel Chopin,Passage Jouffroy,2,48.8726389,2.3422288
Audran,Rue Audran 75018,2,48.8852894,2.3358999
Zazie Hôtel,Rue Chaligny 75012,2,48.8453571,2.3832807
Hôtel Paris Villette,Rue Curial 75019,2,48.892959,2.3731031
Hôtel Garden Saint-Martin,Rue Yves Toudic 75010,2,48.8712401,2.3624333
Hôtel Floridor Étoile,Rue des Ternes,2,48.8785242,2.2939268
Hôtel Stanislas,Rue du Montparnasse,2,48.8450855,2.3281762
Hôtel de France Quartier-Latin,Rue Monge 75005,2,48.8394083,2.3509454
Hôtel Eden Montmartre,Rue Ordener 75018,3,48.8928524,2.3428035
Hôtel Ibis Styles Paris-Bercy,Rue de Bercy 75012,3,48.8384022,2.3811331
Lyon Bastille,Rue Parrot 75012,3,48.8468976,2.372834
Hôtel Victoria Châtelet,Avenue Victoria,3,48.8578252,2.3467061
Folkestone Opéra,Rue de Castellane 75008,3,48.8722043,2.3250526
Hipotel Paris Voltaire Bastille,Boulevard Voltaire,3,48.8573223,2.3805565
Hôtel Derby Eiffel,Avenue Duquesne,3,48.8536395,2.3074534
Hôtel Ronceray,Passage Jouffroy,3,48.8720574,2.3420399
Hôtel Acadia,Rue Geoffroy Marie,3,48.8732914,2.3437141
Élysée,Rue de Bercy,3,48.8466561,2.3698592
Le Daum,Rue Gossec,3,48.8387905,2.4008358
Hôtel Avalon Paris,Boulevard de Magenta,3,48.8811174,2.3514426
Hôtel 10 Opéra,Rue du Helder 75009,3,48.8718954,2.3350541
Le Rocroy,Rue de Rocroy,3,48.8797188,2.3507524
Hôtel ibis Paris Sacré-Cœur,Boulevard Marguerite de Rochechouart 75018,3,48.8825695,2.3415433
Quality Hotel & Suites Bercy Bibliothèque,Rue de Tolbiac 75013,3,48.8293498,2.374812
La Finca,Boulevard Richard-Lenoir 75011,3,48.8582177,2.3718944
Le Robinet d'Or,Rue Robert Blache 75010,3,48.8780925,2.3647154
Hôtel Beaumarchais,Rue Oberkampf 75011,3,48.8629114,2.3676068
Hôtel du Midi,Avenue René Coty 75014,3,48.8330243,2.3325486
Fred Hôtel,Avenue Villemain 75014,3,48.83221,2.3163892
Hôtel Sophie Germain,Rue Sophie Germain 75014,3,48.8309706,2.3306591
Hôtel Suites Unic Renoir Saint-Germain,Rue du Montparnasse,3,48.8420516,2.3254084
Lenox Montparnasse,Rue Delambre,3,48.8415655,2.3278484
Ibis Styles,Rue du Ruisseau 75018,3,48.8952792,2.3409236
Odeon Sant Germaine,Rue de l'Odéon 75006,3,48.8514439,2.3387903
Tourisme avenue hotel,Avenue de la Motte-Picquet 75015,3,48.8495595,2.2982166
Hôtel Ibis Paris Avenue de la République,Rue Rampon 75011,3,48.8663164,2.3679812
Hôtel Trianon,Boulevard Diderot 75012,3,48.8463622,2.3796051
Hôtel du Levant,Rue de la Harpe 75005,3,48.8523017,2.3443719
Aparthotels Adagio La Villette,Avenue Corentin Cariou 75019,3,48.8965196,2.38481
Hôtel Moulin Plaza,Rue Pierre Fontaine 75009,3,48.8830379,2.3328924
Residhome Paris Rosa Parks,Rue Gaston Tessier 75019,3,48.8956184,2.372463
Les 3 Poussins,Rue Clauzel 75009,3,48.8791021,2.3382503
Villa Modigliani,Rue Delambre,3,48.8413003,2.3280614
Magenta 38,Boulevard de Magenta,3,48.8720956,2.3600904
Prince Albert Montmartre,Rue Ordener 75018,3,48.8932577,2.3397966
Castex Hotel,Rue Castex 75004,3,48.8526582,2.366023
Terrass'' Hôtel,Rue Joseph de Maistre 75018,4,48.8865811,2.333045
Mercure Paris Montparnasse Pasteur,Rue Gager-Gabillot 75015,4,48.837696,2.3062844
Kube Hotel,Passage Ruelle,4,48.8866042,2.3588436
Artus Hotel,Rue de Buci 75006,4,48.8534652,2.3360798
Hôtel La Bourdonnais,Avenue de la Bourdonnais 75007,4,48.8549543,2.3045853
Hôtel Mercure Paris 19 Philharmonie La Villette,Avenue Jean Jaurès 75019,4,48.8888774,2.3943052
Appart'City,Avenue de France 75013,4,48.8278735,2.3796577
Bourgogne et Montana Hôtel,Rue de Bourgogne 75007,4,48.860154,2.3183179
Hôtel Le Derby Alma,Avenue Rapp 75007,4,48.8604399,2.3007825
Citadines,Rue des Innocents 75001,4,48.860658,2.3469337
Hôtel de Neuville,Rue Verniquet 75017,4,48.886898,2.300469
Best Western Le 18,Rue Letort,4,48.8965796,2.3436026
Timhotel Opera Grands Magasins,Rue La Bruyère 75009,4,48.8794957,2.3334918
Hôtel de Lille,Rue de Lille 75007,4,48.8585295,2.3299131
Hôtel Novotel Paris Les Halles,Place Marguerite de Navarre 75001,4,48.8609793,2.3463248
Les Deux Girafes,Passage Beslay 75011,4,48.8638516,2.3750026
Maison Mère,Rue Mayran 75009,4,48.8771595,2.34517
Mercure Paris Montparnasse Raspail Hotel,Boulevard Raspail 75014,4,48.8411947,2.3301907
La Maison Favart,Rue de Marivaux 75002,4,48.8707802,2.3373207
Aparthotel Adagio Paris Nation,Rue Lamblardie 75012,4,48.8406723,2.3977269
"Le Belgrand Hotel Paris Champs Elysees, Tapestry Collection by Hilton",Rue Lauriston 75116,4,48.8700041,2.290924
L'Hôtel du Collectionneur,Rue de Courcelles 75008,5,48.8769651,2.3069884
Pershing Hall,Rue Pierre Charron,5,48.8690928,2.3022321
Hôtel Bel Ami,Rue Saint-Benoît 75006,5,48.8548818,2.3332071
La Clef Louvre,Rue de Richelieu 75001,5,48.864018,2.3361228
Madame Rêve,Rue du Louvre 75001,5,48.8645507,2.3429568
